file,type,parent,size
.git,is directory,programs,50538
.idea,is directory,programs,14257
s_1,is directory,programs,4128
s_2,is directory,programs,2809
s_3,is directory,programs,4388
s_4,is directory,programs,3715
s_5,is directory,programs,2985
s_6,is directory,programs,5196
s_7,is directory,programs,8087
s_8,is directory,programs,27794
main.py,is file,programs,0
hooks,is directory,.git,23442
info,is directory,objects,0
logs,is directory,.git,4163
objects,is directory,.git,20506
refs,is directory,logs,2752
COMMIT_EDITMSG,is file,.git,14
config,is file,.git,310
description,is file,.git,73
HEAD,is file,logs,1411
index,is file,.git,1685
applypatch-msg.sample,is file,hooks,478
commit-msg.sample,is file,hooks,896
fsmonitor-watchman.sample,is file,hooks,4655
post-update.sample,is file,hooks,189
pre-applypatch.sample,is file,hooks,424
pre-commit.sample,is file,hooks,1643
pre-merge-commit.sample,is file,hooks,416
pre-push.sample,is file,hooks,1374
pre-rebase.sample,is file,hooks,4898
pre-receive.sample,is file,hooks,544
prepare-commit-msg.sample,is file,hooks,1492
push-to-checkout.sample,is file,hooks,2783
update.sample,is file,hooks,3650
exclude,is file,info,240
heads,is directory,refs,41
remotes,is directory,refs,41
master,is file,origin,41
origin,is directory,remotes,41
00,is directory,objects,1774
08,is directory,objects,82
0a,is directory,objects,54
0c,is directory,objects,41
0f,is directory,objects,132
18,is directory,objects,139
1c,is directory,objects,167
25,is directory,objects,133
2f,is directory,objects,163
37,is directory,objects,1562
39,is directory,objects,1046
3e,is directory,objects,161
43,is directory,objects,158
45,is directory,objects,1046
49,is directory,objects,161
4b,is directory,objects,59
54,is directory,objects,183
57,is directory,objects,1480
59,is directory,objects,1348
61,is directory,objects,1066
63,is directory,objects,57
6e,is directory,objects,1561
6f,is directory,objects,1390
74,is directory,objects,51
79,is directory,objects,208
84,is directory,objects,115
87,is directory,objects,161
88,is directory,objects,160
8a,is directory,objects,49
93,is directory,objects,116
9c,is directory,objects,107
9e,is directory,objects,1016
af,is directory,objects,312
b3,is directory,objects,149
b4,is directory,objects,162
b7,is directory,objects,161
cb,is directory,objects,129
ce,is directory,objects,233
d0,is directory,objects,82
d4,is directory,objects,2724
dc,is directory,objects,59
e1,is directory,objects,54
e6,is directory,objects,15
ea,is directory,objects,113
f5,is directory,objects,135
fe,is directory,objects,232
pack,is directory,objects,0
b97eae2688e478b5f74a5f3d08b752415097dc,is file,00,1774
be6159c91c1a9ce3371acf739eb5633dfb053c,is file,08,82
572bf117201119e7feac6fb7f7efb3257dc219,is file,0a,54
9af33aa496c853b1429b50cd9c2e854a9f2cc7,is file,0c,41
9a221a27d62b30ea6ff08139d3bd4a2c2c9898,is file,0f,132
8f88fad282415b510aa713b6a417306220da8e,is file,18,139
7fbcc7f16b379b748828b99af20d1fab55e545,is file,1c,167
4028b9d1461d2e3196d80bafb5854aeb69e8f7,is file,25,133
1fe76da6d5ab8204fb5fc8c8092d2158a3e6d4,is file,2f,163
f3513f9e5771180bb6e235a5894d43c163f6a5,is file,37,1562
ee3af5ffb9f51dca1103e5b123c42f40e13990,is file,39,1046
2432ad69751bcc873a1b2548e2ba3c2dda9133,is file,3e,161
e0fe3d06e5bed48b2c3ecb133102ecf5bd709e,is file,43,158
62d7887792d1753ca2b10d5904d250350d782c,is file,45,1046
36043bdab69981ee93857eb75d4a96060bda8c,is file,49,161
9a5ec038580d48ae5c0cd32083f653240efe10,is file,4b,59
fa292448ee18fcafb735be0f3da231bccf59fc,is file,54,183
6bdf8c7160c57bcb5bf4adafb57eca21491918,is file,57,1480
68c0cb4310ce67b72a8ad4d94e55979d9274d9,is file,59,1348
9688bb4fa1f6ba6b4cbc5d04bdf66e7244b9db,is file,61,1066
def389bbf9e07ed6a252bc81141f50fc6414c7,is file,63,57
dc177e14dd10eb7fce83390001d8bf83ecae57,is file,6e,1561
b3aca9f323f74166473d466e3b9a9579f20983,is file,6f,1390
82fd597867b79e9ae5f34d4006560caa1e4415,is file,74,51
2a1f36395656766327ce00416dd14006a5c2dc,is file,79,208
1ca43902f8e70e973c50aed13cbec36f1485c4,is file,84,115
39945d053c36f4cbad9b8b46ac084e3070cfaf,is file,87,161
ef1a9cb8aed933c6a613d341d09e66e86f9a82,is file,88,160
b3fc2de13f9cb6e327f3f770541c8de21291a5,is file,8a,49
1f54476e6e47c67699444a3ce7d70ef5d507f2,is file,93,58
e60d113da566a2f0264ae7780c3b5de651aa28,is file,93,58
262612cdf2316bb33091608cdfa021baa2c0bc,is file,9c,107
433c6399eb7a901918dc1db2bb6d2cce4c9301,is file,9e,971
71ce5712d77bd3d08235d239ddca80da2abf06,is file,9e,45
3f7eeae8575fb286aaafadce7c1232f94b8b66,is file,af,312
28e002d02f76d99df8edcc2d5fa4c70fd4fadf,is file,b3,149
97c595406e7abdb8595b7b91d6dd3894f7296f,is file,b4,162
